date,state,district,pincode,demo_age_5_17,demo_age_17_
19-09-2025,Madhya Pradesh,Sehore,466554,2,0
20-09-2025,Madhya Pradesh,Sehore,466111,0,1
20-09-2025,Madhya Pradesh,Sehore,466114,0,3
20-09-2025,Madhya Pradesh,Sehore,466120,1,2
13-10-2025,Madhya Pradesh,Sehore,466001,0,4
13-10-2025,Madhya Pradesh,Sehore,466554,0,1
13-10-2025,Madhya Pradesh,Sehore,466661,1,0
16-10-2025,Madhya Pradesh,Sehore,466111,1,7
16-10-2025,Madhya Pradesh,Sehore,466651,0,4
15-10-2025,Madhya Pradesh,Sehore,466331,8,13
15-10-2025,Madhya Pradesh,Sehore,466448,1,0
15-10-2025,Madhya Pradesh,Sehore,466661,1,6
05-11-2025,Madhya Pradesh,Sehore,466118,1,1
06-11-2025,Madhya Pradesh,Sehore,466118,1,1
10-11-2025,Madhya Pradesh,Sehore,466113,1,3
09-11-2025,Madhya Pradesh,Sehore,466115,1,6
16-11-2025,Madhya Pradesh,Sehore,466448,0,2
20-10-2025,Madhya Pradesh,Sehore,466115,0,2
20-10-2025,Madhya Pradesh,Sehore,466331,0,3
20-10-2025,Madhya Pradesh,Sehore,466446,0,1
21-10-2025,Madhya Pradesh,Sehore,466113,0,1
21-10-2025,Madhya Pradesh,Sehore,466115,0,2
21-10-2025,Madhya Pradesh,Sehore,466554,1,0
24-10-2025,Madhya Pradesh,Sehore,466115,1,5
24-10-2025,Madhya Pradesh,Sehore,466116,0,5
24-10-2025,Madhya Pradesh,Sehore,466120,0,4
24-10-2025,Madhya Pradesh,Sehore,466445,1,8
24-10-2025,Madhya Pradesh,Sehore,466448,0,2
25-10-2025,Madhya Pradesh,Sehore,466661,0,5
17-10-2025,Madhya Pradesh,Sehore,466115,1,10
17-10-2025,Madhya Pradesh,Sehore,466120,0,3
17-10-2025,Madhya Pradesh,Sehore,466125,0,4
17-10-2025,Madhya Pradesh,Sehore,466448,0,4
18-10-2025,Madhya Pradesh,Sehore,466001,1,18
18-10-2025,Madhya Pradesh,Sehore,466111,0,3
18-10-2025,Madhya Pradesh,Sehore,466115,1,15
18-10-2025,Madhya Pradesh,Sehore,466331,0,9
18-10-2025,Madhya Pradesh,Sehore,466445,5,9
18-10-2025,Madhya Pradesh,Sehore,466448,0,1
26-10-2025,Madhya Pradesh,Sehore,466111,1,3
26-10-2025,Madhya Pradesh,Sehore,466113,0,4
26-10-2025,Madhya Pradesh,Sehore,466221,0,3
26-10-2025,Madhya Pradesh,Sehore,466554,0,3
19-10-2025,Madhya Pradesh,Sehore,466001,2,10
19-10-2025,Madhya Pradesh,Sehore,466331,2,15
27-10-2025,Madhya Pradesh,Sehore,466001,0,7
27-10-2025,Madhya Pradesh,Sehore,466661,1,0
27-10-2025,Madhya Pradesh,Sehore,466665,0,3
28-10-2025,Madhya Pradesh,Sehore,466111,1,2
28-10-2025,Madhya Pradesh,Sehore,466114,1,4
28-10-2025,Madhya Pradesh,Sehore,466331,4,17
28-10-2025,Madhya Pradesh,Sehore,466446,4,12
28-10-2025,Madhya Pradesh,Sehore,466554,5,10
02-11-2025,Madhya Pradesh,Sehore,466331,5,12
02-11-2025,Madhya Pradesh,Sehore,466446,1,6
02-11-2025,Madhya Pradesh,Sehore,466554,1,0
13-12-2025,Madhya Pradesh,Sehore,466448,0,1
14-12-2025,Madhya Pradesh,Sehore,466111,0,4
14-12-2025,Madhya Pradesh,Sehore,466221,0,4
21-12-2025,Madhya Pradesh,Sehore,466115,0,3
21-12-2025,Madhya Pradesh,Sehore,466116,0,2
21-12-2025,Madhya Pradesh,Sehore,466661,0,1
22-12-2025,Madhya Pradesh,Sehore,466120,1,6
22-12-2025,Madhya Pradesh,Sehore,466221,1,7
22-12-2025,Madhya Pradesh,Sehore,466445,4,9
22-12-2025,Madhya Pradesh,Sehore,466665,1,6
15-12-2025,Madhya Pradesh,Sehore,466331,4,30
09-12-2025,Madhya Pradesh,Sehore,466445,0,6
09-12-2025,Madhya Pradesh,Sehore,466661,0,3
08-12-2025,Madhya Pradesh,Sehore,466111,1,5
08-12-2025,Madhya Pradesh,Sehore,466331,2,29
08-12-2025,Madhya Pradesh,Sehore,466554,0,5
08-12-2025,Madhya Pradesh,Sehore,466665,0,5
12-12-2025,Madhya Pradesh,Sehore,466111,0,7
12-12-2025,Madhya Pradesh,Sehore,466120,3,5
12-12-2025,Madhya Pradesh,Sehore,466448,1,2
12-12-2025,Madhya Pradesh,Sehore,466554,0,6
11-12-2025,Madhya Pradesh,Sehore,466115,3,18
11-12-2025,Madhya Pradesh,Sehore,466221,0,2
11-12-2025,Madhya Pradesh,Sehore,466445,0,5
11-12-2025,Madhya Pradesh,Sehore,466651,2,6
20-12-2025,Madhya Pradesh,Sehore,466001,5,22
20-12-2025,Madhya Pradesh,Sehore,466114,0,1
20-12-2025,Madhya Pradesh,Sehore,466331,1,16
20-12-2025,Madhya Pradesh,Sehore,466448,0,1
13-12-2025,Madhya Pradesh,Sehore,466118,0,1
13-12-2025,Madhya Pradesh,Sehore,466445,1,4
14-12-2025,Madhya Pradesh,Sehore,466001,0,6
14-12-2025,Madhya Pradesh,Sehore,466116,0,1
14-12-2025,Madhya Pradesh,Sehore,466446,0,3
17-12-2025,Madhya Pradesh,Sehore,466118,0,2
17-12-2025,Madhya Pradesh,Sehore,466665,1,5
16-12-2025,Madhya Pradesh,Sehore,466115,4,22
16-12-2025,Madhya Pradesh,Sehore,466125,1,13
16-12-2025,Madhya Pradesh,Sehore,466221,0,6
16-12-2025,Madhya Pradesh,Sehore,466445,2,9
10-12-2025,Madhya Pradesh,Sehore,466114,1,7
10-12-2025,Madhya Pradesh,Sehore,466116,1,27
10-12-2025,Madhya Pradesh,Sehore,466125,0,3
10-12-2025,Madhya Pradesh,Sehore,466554,0,3
21-12-2025,Madhya Pradesh,Sehore,466120,0,4
21-12-2025,Madhya Pradesh,Sehore,466651,2,5
28-12-2025,Madhya Pradesh,Sehore,466113,1,2
28-12-2025,Madhya Pradesh,Sehore,466118,1,1
28-12-2025,Madhya Pradesh,Sehore,466120,0,2
28-12-2025,Madhya Pradesh,Sehore,466331,6,20
28-12-2025,Madhya Pradesh,Sehore,466446,0,11
28-12-2025,Madhya Pradesh,Sehore,466448,2,2
29-12-2025,Madhya Pradesh,Sehore,466115,2,17
29-12-2025,Madhya Pradesh,Sehore,466221,0,3
29-12-2025,Madhya Pradesh,Sehore,466448,1,2
29-12-2025,Madhya Pradesh,Sehore,466661,0,3
18-12-2025,Madhya Pradesh,Sehore,466125,2,7
18-12-2025,Madhya Pradesh,Sehore,466665,2,6
03-12-2025,Madhya Pradesh,Sehore,466001,0,29
03-12-2025,Madhya Pradesh,Sehore,466118,0,3
06-12-2025,Madhya Pradesh,Sehore,466001,0,17
06-12-2025,Madhya Pradesh,Sehore,466113,0,3
06-12-2025,Madhya Pradesh,Sehore,466445,1,9
06-12-2025,Madhya Pradesh,Sehore,466448,0,2
06-12-2025,Madhya Pradesh,Sehore,466651,0,9
05-12-2025,Madhya Pradesh,Sehore,466114,0,2
05-12-2025,Madhya Pradesh,Sehore,466115,0,10
05-12-2025,Madhya Pradesh,Sehore,466116,3,25
05-12-2025,Madhya Pradesh,Sehore,466118,0,4
05-12-2025,Madhya Pradesh,Sehore,466120,0,5
05-12-2025,Madhya Pradesh,Sehore,466448,2,2
05-12-2025,Madhya Pradesh,Sehore,466661,0,2
04-12-2025,Madhya Pradesh,Sehore,466446,1,14
04-12-2025,Madhya Pradesh,Sehore,466554,0,3
07-12-2025,Madhya Pradesh,Sehore,466116,0,6
07-12-2025,Madhya Pradesh,Sehore,466331,0,2
10-11-2025,Madhya Pradesh,Sehore,466114,0,5
10-11-2025,Madhya Pradesh,Sehore,466651,0,12
09-11-2025,Madhya Pradesh,Sehore,466116,0,1
11-11-2025,Madhya Pradesh,Sehore,466001,3,28
11-11-2025,Madhya Pradesh,Sehore,466125,0,2
11-11-2025,Madhya Pradesh,Sehore,466445,1,7
11-11-2025,Madhya Pradesh,Sehore,466446,0,12
04-11-2025,Madhya Pradesh,Sehore,466113,0,2
04-11-2025,Madhya Pradesh,Sehore,466115,3,12
04-11-2025,Madhya Pradesh,Sehore,466446,1,19
05-11-2025,Madhya Pradesh,Sehore,466120,0,1
06-11-2025,Madhya Pradesh,Sehore,466001,4,29
06-11-2025,Madhya Pradesh,Sehore,466115,1,18
06-11-2025,Madhya Pradesh,Sehore,466445,5,12
06-11-2025,Madhya Pradesh,Sehore,466448,0,4
07-11-2025,Madhya Pradesh,Sehore,466221,1,5
07-11-2025,Madhya Pradesh,Sehore,466446,2,14
08-11-2025,Madhya Pradesh,Sehore,466001,3,24
08-11-2025,Madhya Pradesh,Sehore,466114,0,2
08-11-2025,Madhya Pradesh,Sehore,466125,0,1
08-11-2025,Madhya Pradesh,Sehore,466221,1,1
08-11-2025,Madhya Pradesh,Sehore,466446,0,11
08-11-2025,Madhya Pradesh,Sehore,466665,0,4
13-11-2025,Madhya Pradesh,Sehore,466113,0,3
13-11-2025,Madhya Pradesh,Sehore,466115,1,13
12-11-2025,Madhya Pradesh,Sehore,466445,3,6
12-11-2025,Madhya Pradesh,Sehore,466554,0,4
14-11-2025,Madhya Pradesh,Sehore,466115,2,10
14-11-2025,Madhya Pradesh,Sehore,466125,0,1
14-11-2025,Madhya Pradesh,Sehore,466554,2,8
25-12-2025,Madhya Pradesh,Sehore,466554,1,3
31-12-2025,Madhya Pradesh,Sehore,466111,1,7
31-12-2025,Madhya Pradesh,Sehore,466445,0,7
25-12-2025,Madhya Pradesh,Sehore,466115,0,2
25-12-2025,Madhya Pradesh,Sehore,466116,0,5
25-12-2025,Madhya Pradesh,Sehore,466665,1,5
26-12-2025,Madhya Pradesh,Sehore,466115,5,24
26-12-2025,Madhya Pradesh,Sehore,466331,8,42
01-01-2026,Madhya Pradesh,Sehore,466651,1,8
01-01-2026,Madhya Pradesh,Sehore,466665,0,4
24-12-2025,Madhya Pradesh,Sehore,466113,0,2
24-12-2025,Madhya Pradesh,Sehore,466115,3,22
24-12-2025,Madhya Pradesh,Sehore,466331,8,28
24-12-2025,Madhya Pradesh,Sehore,466651,2,4
02-01-2026,Madhya Pradesh,Sehore,466114,2,2
02-01-2026,Madhya Pradesh,Sehore,466120,0,2
02-01-2026,Madhya Pradesh,Sehore,466331,6,17
02-01-2026,Madhya Pradesh,Sehore,466661,1,1
03-01-2026,Madhya Pradesh,Sehore,466113,1,0
23-12-2025,Madhya Pradesh,Sehore,466221,0,3
23-12-2025,Madhya Pradesh,Sehore,466445,4,10
19-12-2025,Madhya Pradesh,Sehore,466120,0,11
19-12-2025,Madhya Pradesh,Sehore,466446,1,12
19-12-2025,Madhya Pradesh,Sehore,466554,7,5
15-11-2025,Madhya Pradesh,Sehore,466118,0,1
15-11-2025,Madhya Pradesh,Sehore,466661,0,1
16-11-2025,Madhya Pradesh,Sehore,466001,1,1
16-11-2025,Madhya Pradesh,Sehore,466114,0,1
16-11-2025,Madhya Pradesh,Sehore,466116,0,1
17-11-2025,Madhya Pradesh,Sehore,466120,2,6
17-11-2025,Madhya Pradesh,Sehore,466125,1,2
19-11-2025,Madhya Pradesh,Sehore,466111,0,3
19-11-2025,Madhya Pradesh,Sehore,466114,0,7
19-11-2025,Madhya Pradesh,Sehore,466115,2,11
19-11-2025,Madhya Pradesh,Sehore,466120,0,3
19-11-2025,Madhya Pradesh,Sehore,466221,0,3
19-11-2025,Madhya Pradesh,Sehore,466331,8,17
19-11-2025,Madhya Pradesh,Sehore,466651,0,4
18-11-2025,Madhya Pradesh,Sehore,466111,1,7
18-11-2025,Madhya Pradesh,Sehore,466114,0,4
18-11-2025,Madhya Pradesh,Sehore,466331,4,23
18-11-2025,Madhya Pradesh,Sehore,466446,1,13
18-11-2025,Madhya Pradesh,Sehore,466448,0,3
18-11-2025,Madhya Pradesh,Sehore,466651,0,8
18-11-2025,Madhya Pradesh,Sehore,466665,0,6
21-11-2025,Madhya Pradesh,Sehore,466448,0,1
21-11-2025,Madhya Pradesh,Sehore,466554,2,2
21-11-2025,Madhya Pradesh,Sehore,466651,1,2
20-11-2025,Madhya Pradesh,Sehore,466446,0,1
20-11-2025,Madhya Pradesh,Sehore,466448,0,2
01-11-2025,Madhya Pradesh,Sehore,466554,1,5
03-11-2025,Madhya Pradesh,Sehore,466120,0,2
03-11-2025,Madhya Pradesh,Sehore,466125,0,2
03-11-2025,Madhya Pradesh,Sehore,466448,1,3
25-11-2025,Madhya Pradesh,Sehore,466113,1,2
25-11-2025,Madhya Pradesh,Sehore,466221,0,3
25-11-2025,Madhya Pradesh,Sehore,466331,5,11
24-11-2025,Madhya Pradesh,Sehore,466001,2,22
24-11-2025,Madhya Pradesh,Sehore,466113,0,3
24-11-2025,Madhya Pradesh,Sehore,466116,2,15
24-11-2025,Madhya Pradesh,Sehore,466118,0,8
24-11-2025,Madhya Pradesh,Sehore,466665,0,5
22-11-2025,Madhya Pradesh,Sehore,466001,6,10
22-11-2025,Madhya Pradesh,Sehore,466221,0,4
23-11-2025,Madhya Pradesh,Sehore,466113,0,1
23-11-2025,Madhya Pradesh,Sehore,466116,0,2
23-11-2025,Madhya Pradesh,Sehore,466661,0,1
01-12-2025,Madhya Pradesh,Sehore,466001,3,34
01-12-2025,Madhya Pradesh,Sehore,466661,0,5
27-11-2025,Madhya Pradesh,Sehore,466448,0,2
28-11-2025,Madhya Pradesh,Sehore,466446,1,11
31-10-2025,Madhya Pradesh,Sehore,466120,0,9
26-11-2025,Madhya Pradesh,Sehore,466446,1,7
29-10-2025,Madhya Pradesh,Sehore,466111,0,9
29-10-2025,Madhya Pradesh,Sehore,466113,0,3
29-10-2025,Madhya Pradesh,Sehore,466125,0,2
29-10-2025,Madhya Pradesh,Sehore,466554,1,7
29-10-2025,Madhya Pradesh,Sehore,466665,0,1
30-10-2025,Madhya Pradesh,Sehore,466111,0,3
30-10-2025,Madhya Pradesh,Sehore,466114,0,3
30-10-2025,Madhya Pradesh,Sehore,466445,0,3
30-10-2025,Madhya Pradesh,Sehore,466661,1,3
02-12-2025,Madhya Pradesh,Sehore,466111,0,5
02-12-2025,Madhya Pradesh,Sehore,466113,0,1
02-12-2025,Madhya Pradesh,Sehore,466116,1,21
02-12-2025,Madhya Pradesh,Sehore,466221,0,2
02-12-2025,Madhya Pradesh,Sehore,466445,2,7
29-11-2025,Madhya Pradesh,Sehore,466113,0,5
29-11-2025,Madhya Pradesh,Sehore,466118,0,2
29-11-2025,Madhya Pradesh,Sehore,466554,1,3
17-10-2025,Madhya Pradesh,Sehore,466113,0,1
17-10-2025,Madhya Pradesh,Sehore,466118,0,2
17-10-2025,Madhya Pradesh,Sehore,466446,0,11
17-10-2025,Madhya Pradesh,Sehore,466554,0,5
17-10-2025,Madhya Pradesh,Sehore,466651,0,2
18-10-2025,Madhya Pradesh,Sehore,466118,0,2
18-10-2025,Madhya Pradesh,Sehore,466125,0,2
18-10-2025,Madhya Pradesh,Sehore,466221,0,4
19-10-2025,Madhya Pradesh,Sehore,466116,2,9
19-10-2025,Madhya Pradesh,Sehore,466125,0,1
19-10-2025,Madhya Pradesh,Sehore,466221,0,3
19-10-2025,Madhya Pradesh,Sehore,466554,1,1
28-10-2025,Madhya Pradesh,Sehore,466115,1,13
28-10-2025,Madhya Pradesh,Sehore,466661,1,3
28-10-2025,Madhya Pradesh,Sehore,466665,0,6
02-11-2025,Madhya Pradesh,Sehore,466113,1,0
02-11-2025,Madhya Pradesh,Sehore,466448,1,0
26-10-2025,Madhya Pradesh,Sehore,466115,1,11
26-10-2025,Madhya Pradesh,Sehore,466116,3,18
26-10-2025,Madhya Pradesh,Sehore,466445,1,9
26-10-2025,Madhya Pradesh,Sehore,466448,0,1
26-10-2025,Madhya Pradesh,Sehore,466651,0,2
26-10-2025,Madhya Pradesh,Sehore,466665,1,3
21-10-2025,Madhya Pradesh,Sehore,466116,1,5
21-10-2025,Madhya Pradesh,Sehore,466446,3,2
21-10-2025,Madhya Pradesh,Sehore,466665,0,1
20-10-2025,Madhya Pradesh,Sehore,466114,0,1
20-10-2025,Madhya Pradesh,Sehore,466120,0,1
22-10-2025,Madhya Pradesh,Sehore,466001,0,2
23-10-2025,Madhya Pradesh,Sehore,466001,0,2
23-10-2025,Madhya Pradesh,Sehore,466116,0,4
23-10-2025,Madhya Pradesh,Sehore,466331,1,2
24-10-2025,Madhya Pradesh,Sehore,466113,0,2
24-10-2025,Madhya Pradesh,Sehore,466446,0,1
25-10-2025,Madhya Pradesh,Sehore,466113,0,1
25-10-2025,Madhya Pradesh,Sehore,466446,0,9
04-11-2025,Madhya Pradesh,Sehore,466118,0,1
04-11-2025,Madhya Pradesh,Sehore,466125,0,1
09-11-2025,Madhya Pradesh,Sehore,466114,1,0
09-11-2025,Madhya Pradesh,Sehore,466120,0,1
16-11-2025,Madhya Pradesh,Sehore,466554,0,2
16-11-2025,Madhya Pradesh,Sehore,466651,0,6
07-12-2025,Madhya Pradesh,Sehore,466554,0,2
07-12-2025,Madhya Pradesh,Sehore,466651,1,4
01-03-2025,Madhya Pradesh,Sehore,466446,63,301
01-03-2025,Madhya Pradesh,Sehore,466114,14,122
01-03-2025,Madhya Pradesh,Sehore,466331,125,802
01-05-2025,Madhya Pradesh,Sehore,466114,17,93
01-05-2025,Madhya Pradesh,Sehore,466331,149,606
01-06-2025,Madhya Pradesh,Sehore,466116,75,422
01-07-2025,Madhya Pradesh,Sehore,466331,330,797
01-07-2025,Madhya Pradesh,Sehore,466116,109,540
01-07-2025,Madhya Pradesh,Sehore,466445,117,324
01-09-2025,Madhya Pradesh,Sehore,466111,1,5
01-09-2025,Madhya Pradesh,Sehore,466115,4,15
01-09-2025,Madhya Pradesh,Sehore,466448,2,3
01-09-2025,Madhya Pradesh,Sehore,466661,0,5
02-09-2025,Madhya Pradesh,Sehore,466111,3,5
02-09-2025,Madhya Pradesh,Sehore,466113,0,4
02-09-2025,Madhya Pradesh,Sehore,466651,0,4
04-09-2025,Madhya Pradesh,Sehore,466114,0,3
04-09-2025,Madhya Pradesh,Sehore,466331,3,15
04-09-2025,Madhya Pradesh,Sehore,466446,1,1
04-09-2025,Madhya Pradesh,Sehore,466554,4,8
04-09-2025,Madhya Pradesh,Sehore,466651,1,8
03-09-2025,Madhya Pradesh,Sehore,466114,0,3
03-09-2025,Madhya Pradesh,Sehore,466446,4,26
06-09-2025,Madhya Pradesh,Sehore,466115,0,9
06-09-2025,Madhya Pradesh,Sehore,466116,0,4
05-09-2025,Madhya Pradesh,Sehore,466111,0,1
05-09-2025,Madhya Pradesh,Sehore,466113,0,1
05-09-2025,Madhya Pradesh,Sehore,466445,0,4
05-09-2025,Madhya Pradesh,Sehore,466661,0,1
07-09-2025,Madhya Pradesh,Sehore,466331,0,2
07-09-2025,Madhya Pradesh,Sehore,466661,0,2
08-09-2025,Madhya Pradesh,Sehore,466113,1,2
08-09-2025,Madhya Pradesh,Sehore,466114,0,7
08-09-2025,Madhya Pradesh,Sehore,466125,0,1
08-09-2025,Madhya Pradesh,Sehore,466665,0,2
09-09-2025,Madhya Pradesh,Sehore,466111,0,3
09-09-2025,Madhya Pradesh,Sehore,466221,1,7
09-09-2025,Madhya Pradesh,Sehore,466554,2,17
10-09-2025,Madhya Pradesh,Sehore,466111,1,6
10-09-2025,Madhya Pradesh,Sehore,466117,0,1
12-09-2025,Madhya Pradesh,Sehore,466125,0,3
12-09-2025,Madhya Pradesh,Sehore,466331,3,17
12-09-2025,Madhya Pradesh,Sehore,466445,0,11
12-09-2025,Madhya Pradesh,Sehore,466448,0,1
11-09-2025,Madhya Pradesh,Sehore,466001,5,23
11-09-2025,Madhya Pradesh,Sehore,466113,2,4
11-09-2025,Madhya Pradesh,Sehore,466118,0,3
11-09-2025,Madhya Pradesh,Sehore,466331,3,24
13-09-2025,Madhya Pradesh,Sehore,466113,0,1
13-09-2025,Madhya Pradesh,Sehore,466114,0,1
13-09-2025,Madhya Pradesh,Sehore,466115,1,10
13-09-2025,Madhya Pradesh,Sehore,466446,2,3
13-09-2025,Madhya Pradesh,Sehore,466448,0,2
13-09-2025,Madhya Pradesh,Sehore,466554,0,3
13-09-2025,Madhya Pradesh,Sehore,466665,0,1
15-09-2025,Madhya Pradesh,Sehore,466665,0,3
16-09-2025,Madhya Pradesh,Sehore,466111,0,4
16-09-2025,Madhya Pradesh,Sehore,466114,1,1
16-09-2025,Madhya Pradesh,Sehore,466116,3,15
16-09-2025,Madhya Pradesh,Sehore,466125,0,2
16-09-2025,Madhya Pradesh,Sehore,466448,3,3
16-09-2025,Madhya Pradesh,Sehore,466651,0,3
16-09-2025,Madhya Pradesh,Sehore,466661,1,6
17-09-2025,Madhya Pradesh,Sehore,466118,0,3
17-09-2025,Madhya Pradesh,Sehore,466120,0,1
18-09-2025,Madhya Pradesh,Sehore,466116,2,20
18-09-2025,Madhya Pradesh,Sehore,466117,1,0
18-09-2025,Madhya Pradesh,Sehore,466118,0,3
18-09-2025,Madhya Pradesh,Sehore,466125,1,5
18-09-2025,Madhya Pradesh,Sehore,466221,0,3
18-09-2025,Madhya Pradesh,Sehore,466661,0,1
20-09-2025,Madhya Pradesh,Sehore,466221,0,3
20-09-2025,Madhya Pradesh,Sehore,466331,4,6
20-09-2025,Madhya Pradesh,Sehore,466661,1,1
19-09-2025,Madhya Pradesh,Sehore,466001,5,25
19-09-2025,Madhya Pradesh,Sehore,466111,2,3
19-09-2025,Madhya Pradesh,Sehore,466114,0,1
19-09-2025,Madhya Pradesh,Sehore,466115,1,8
13-10-2025,Madhya Pradesh,Sehore,466115,0,4
13-10-2025,Madhya Pradesh,Sehore,466116,1,12
13-10-2025,Madhya Pradesh,Sehore,466331,0,10
13-10-2025,Madhya Pradesh,Sehore,466651,0,7
16-10-2025,Madhya Pradesh,Sehore,466448,0,1
15-10-2025,Madhya Pradesh,Sehore,466116,3,15
15-10-2025,Madhya Pradesh,Sehore,466118,0,2
15-10-2025,Madhya Pradesh,Sehore,466445,2,6
15-10-2025,Madhya Pradesh,Sehore,466446,2,17
15-10-2025,Madhya Pradesh,Sehore,466554,4,4
15-10-2025,Madhya Pradesh,Sehore,466651,2,4
12-12-2025,Madhya Pradesh,Sehore,466113,0,4
12-12-2025,Madhya Pradesh,Sehore,466114,1,11
12-12-2025,Madhya Pradesh,Sehore,466651,3,7
12-12-2025,Madhya Pradesh,Sehore,466661,0,5
12-12-2025,Madhya Pradesh,Sehore,466665,1,8
11-12-2025,Madhya Pradesh,Sehore,466113,0,3
11-12-2025,Madhya Pradesh,Sehore,466114,0,4
11-12-2025,Madhya Pradesh,Sehore,466665,2,7
05-12-2025,Madhya Pradesh,Sehore,466331,0,30
05-12-2025,Madhya Pradesh,Sehore,466445,0,13
05-12-2025,Madhya Pradesh,Sehore,466446,0,14
05-12-2025,Madhya Pradesh,Sehore,466665,0,2
07-12-2025,Madhya Pradesh,Sehore,466445,1,0
06-12-2025,Madhya Pradesh,Sehore,466114,1,11
06-12-2025,Madhya Pradesh,Sehore,466115,2,15
06-12-2025,Madhya Pradesh,Sehore,466118,0,1
06-12-2025,Madhya Pradesh,Sehore,466125,0,1
06-12-2025,Madhya Pradesh,Sehore,466661,2,7
03-12-2025,Madhya Pradesh,Sehore,466113,1,0
03-12-2025,Madhya Pradesh,Sehore,466116,0,19
03-12-2025,Madhya Pradesh,Sehore,466221,1,4
03-12-2025,Madhya Pradesh,Sehore,466651,1,3
04-12-2025,Madhya Pradesh,Sehore,466115,0,10
04-12-2025,Madhya Pradesh,Sehore,466651,0,5
04-11-2025,Madhya Pradesh,Sehore,466001,3,27
04-11-2025,Madhya Pradesh,Sehore,466445,2,8
04-11-2025,Madhya Pradesh,Sehore,466448,0,6
05-11-2025,Madhya Pradesh,Sehore,466111,0,2
05-11-2025,Madhya Pradesh,Sehore,466113,0,2
06-11-2025,Madhya Pradesh,Sehore,466114,0,4
06-11-2025,Madhya Pradesh,Sehore,466331,1,21
21-12-2025,Madhya Pradesh,Sehore,466446,1,10
