date,state,district,pincode,bio_age_5_17,bio_age_17_
07-12-2025,Madhya Pradesh,Sehore,466445,1,0
16-11-2025,Madhya Pradesh,Sehore,466665,1,0
30-11-2025,Madhya Pradesh,Sehore,466554,0,2
23-11-2025,Madhya Pradesh,Sehore,466118,0,3
09-11-2025,Madhya Pradesh,Sehore,466111,0,2
09-11-2025,Madhya Pradesh,Sehore,466446,0,1
09-11-2025,Madhya Pradesh,Sehore,466661,0,2
26-10-2025,Madhya Pradesh,Sehore,466445,1,1
02-10-2025,Madhya Pradesh,Sehore,466651,0,1
12-10-2025,Madhya Pradesh,Sehore,466331,0,2
05-09-2025,Madhya Pradesh,Sehore,466111,0,1
05-09-2025,Madhya Pradesh,Sehore,466661,0,1
19-10-2025,Madhya Pradesh,Sehore,466116,0,1
19-10-2025,Madhya Pradesh,Sehore,466221,0,1
20-10-2025,Madhya Pradesh,Sehore,466114,0,1
21-10-2025,Madhya Pradesh,Sehore,466116,0,4
21-10-2025,Madhya Pradesh,Sehore,466446,0,1
05-10-2025,Madhya Pradesh,Sehore,466115,0,3
21-09-2025,Madhya Pradesh,Sehore,466114,0,1
21-09-2025,Madhya Pradesh,Sehore,466651,0,3
17-08-2025,Madhya Pradesh,Sehore,466001,0,4
17-08-2025,Madhya Pradesh,Sehore,466445,0,1
17-08-2025,Madhya Pradesh,Sehore,466554,1,0
16-08-2025,Madhya Pradesh,Sehore,466446,0,2
16-08-2025,Madhya Pradesh,Sehore,466554,1,0
16-08-2025,Madhya Pradesh,Sehore,466665,0,1
10-08-2025,Madhya Pradesh,Sehore,466554,2,0
09-08-2025,Madhya Pradesh,Sehore,466115,0,1
09-08-2025,Madhya Pradesh,Sehore,466125,0,1
09-08-2025,Madhya Pradesh,Sehore,466445,1,0
03-08-2025,Madhya Pradesh,Sehore,466331,0,1
03-08-2025,Madhya Pradesh,Sehore,466651,0,2
27-07-2025,Madhya Pradesh,Sehore,466111,0,1
27-07-2025,Madhya Pradesh,Sehore,466445,0,1
06-07-2025,Madhya Pradesh,Sehore,466120,0,1
12-07-2025,Madhya Pradesh,Sehore,466221,2,11
12-07-2025,Madhya Pradesh,Sehore,466445,8,10
15-07-2025,Madhya Pradesh,Sehore,466445,2,9
15-07-2025,Madhya Pradesh,Sehore,466665,6,13
14-07-2025,Madhya Pradesh,Sehore,466114,7,17
14-07-2025,Madhya Pradesh,Sehore,466116,47,72
14-07-2025,Madhya Pradesh,Sehore,466125,3,6
14-07-2025,Madhya Pradesh,Sehore,466651,19,22
01-08-2025,Madhya Pradesh,Sehore,466448,4,4
01-08-2025,Madhya Pradesh,Sehore,466651,7,22
30-07-2025,Madhya Pradesh,Sehore,466113,3,7
30-07-2025,Madhya Pradesh,Sehore,466125,7,14
30-07-2025,Madhya Pradesh,Sehore,466445,16,13
30-07-2025,Madhya Pradesh,Sehore,466448,3,1
30-07-2025,Madhya Pradesh,Sehore,466651,17,21
04-08-2025,Madhya Pradesh,Sehore,466001,32,59
04-08-2025,Madhya Pradesh,Sehore,466661,9,14
31-07-2025,Madhya Pradesh,Sehore,466001,28,43
31-07-2025,Madhya Pradesh,Sehore,466113,3,9
31-07-2025,Madhya Pradesh,Sehore,466114,4,11
31-07-2025,Madhya Pradesh,Sehore,466117,0,1
31-07-2025,Madhya Pradesh,Sehore,466125,5,7
31-07-2025,Madhya Pradesh,Sehore,466221,6,8
31-07-2025,Madhya Pradesh,Sehore,466445,7,4
31-07-2025,Madhya Pradesh,Sehore,466446,10,5
31-07-2025,Madhya Pradesh,Sehore,466661,10,11
23-10-2025,Madhya Pradesh,Sehore,466001,19,15
23-10-2025,Madhya Pradesh,Sehore,466116,2,0
23-10-2025,Madhya Pradesh,Sehore,466125,1,1
23-10-2025,Madhya Pradesh,Sehore,466331,2,4
23-10-2025,Madhya Pradesh,Sehore,466665,1,0
27-10-2025,Madhya Pradesh,Sehore,466114,8,13
27-10-2025,Madhya Pradesh,Sehore,466118,8,9
30-10-2025,Madhya Pradesh,Sehore,466113,10,13
30-10-2025,Madhya Pradesh,Sehore,466120,2,9
30-10-2025,Madhya Pradesh,Sehore,466125,0,3
17-10-2025,Madhya Pradesh,Sehore,466113,10,3
17-10-2025,Madhya Pradesh,Sehore,466118,4,2
17-10-2025,Madhya Pradesh,Sehore,466446,8,13
17-10-2025,Madhya Pradesh,Sehore,466554,1,4
17-10-2025,Madhya Pradesh,Sehore,466651,7,10
22-10-2025,Madhya Pradesh,Sehore,466001,2,5
22-10-2025,Madhya Pradesh,Sehore,466448,3,1
22-10-2025,Madhya Pradesh,Sehore,466554,0,3
26-10-2025,Madhya Pradesh,Sehore,466448,0,1
26-10-2025,Madhya Pradesh,Sehore,466665,0,1
24-10-2025,Madhya Pradesh,Sehore,466113,2,3
24-10-2025,Madhya Pradesh,Sehore,466446,4,15
25-10-2025,Madhya Pradesh,Sehore,466113,0,2
25-10-2025,Madhya Pradesh,Sehore,466446,1,5
28-10-2025,Madhya Pradesh,Sehore,466115,17,34
28-10-2025,Madhya Pradesh,Sehore,466661,3,12
28-10-2025,Madhya Pradesh,Sehore,466665,2,5
29-10-2025,Madhya Pradesh,Sehore,466001,59,49
29-10-2025,Madhya Pradesh,Sehore,466661,4,5
31-10-2025,Madhya Pradesh,Sehore,466116,15,36
31-10-2025,Madhya Pradesh,Sehore,466221,1,6
31-10-2025,Madhya Pradesh,Sehore,466445,4,10
31-10-2025,Madhya Pradesh,Sehore,466554,4,5
31-10-2025,Madhya Pradesh,Sehore,466651,6,14
31-10-2025,Madhya Pradesh,Sehore,466665,9,22
01-11-2025,Madhya Pradesh,Sehore,466120,0,2
01-11-2025,Madhya Pradesh,Sehore,466221,2,1
01-11-2025,Madhya Pradesh,Sehore,466331,16,19
01-11-2025,Madhya Pradesh,Sehore,466448,0,3
19-09-2025,Madhya Pradesh,Sehore,466001,7,10
19-09-2025,Madhya Pradesh,Sehore,466111,1,1
19-09-2025,Madhya Pradesh,Sehore,466114,4,4
19-09-2025,Madhya Pradesh,Sehore,466115,9,3
24-09-2025,Madhya Pradesh,Sehore,466120,4,6
24-09-2025,Madhya Pradesh,Sehore,466221,3,5
06-10-2025,Madhya Pradesh,Sehore,466120,10,5
06-10-2025,Madhya Pradesh,Sehore,466125,2,5
06-10-2025,Madhya Pradesh,Sehore,466446,5,6
06-10-2025,Madhya Pradesh,Sehore,466448,7,3
13-09-2025,Madhya Pradesh,Sehore,466113,1,2
13-09-2025,Madhya Pradesh,Sehore,466114,2,3
13-09-2025,Madhya Pradesh,Sehore,466115,13,31
13-09-2025,Madhya Pradesh,Sehore,466446,5,1
13-09-2025,Madhya Pradesh,Sehore,466448,2,2
13-09-2025,Madhya Pradesh,Sehore,466554,4,9
13-09-2025,Madhya Pradesh,Sehore,466665,2,7
25-09-2025,Madhya Pradesh,Sehore,466120,4,6
25-09-2025,Madhya Pradesh,Sehore,466665,7,25
26-09-2025,Madhya Pradesh,Sehore,466115,11,34
26-09-2025,Madhya Pradesh,Sehore,466125,2,5
26-09-2025,Madhya Pradesh,Sehore,466445,7,13
09-10-2025,Madhya Pradesh,Sehore,466111,4,24
16-09-2025,Madhya Pradesh,Sehore,466111,12,15
16-09-2025,Madhya Pradesh,Sehore,466114,5,8
16-09-2025,Madhya Pradesh,Sehore,466116,30,55
16-09-2025,Madhya Pradesh,Sehore,466125,7,8
16-09-2025,Madhya Pradesh,Sehore,466448,1,2
16-09-2025,Madhya Pradesh,Sehore,466651,13,17
16-09-2025,Madhya Pradesh,Sehore,466661,2,7
14-09-2025,Madhya Pradesh,Sehore,466445,0,1
15-09-2025,Madhya Pradesh,Sehore,466221,8,7
15-09-2025,Madhya Pradesh,Sehore,466665,2,5
17-09-2025,Madhya Pradesh,Sehore,466118,11,7
17-09-2025,Madhya Pradesh,Sehore,466120,2,15
18-09-2025,Madhya Pradesh,Sehore,466116,23,48
18-09-2025,Madhya Pradesh,Sehore,466117,0,1
18-09-2025,Madhya Pradesh,Sehore,466118,7,6
18-09-2025,Madhya Pradesh,Sehore,466125,4,9
18-09-2025,Madhya Pradesh,Sehore,466221,5,8
18-09-2025,Madhya Pradesh,Sehore,466661,1,7
20-09-2025,Madhya Pradesh,Sehore,466221,3,4
20-09-2025,Madhya Pradesh,Sehore,466331,18,36
20-09-2025,Madhya Pradesh,Sehore,466448,1,1
20-09-2025,Madhya Pradesh,Sehore,466661,0,9
21-09-2025,Madhya Pradesh,Sehore,466116,1,0
22-09-2025,Madhya Pradesh,Sehore,466115,23,40
22-09-2025,Madhya Pradesh,Sehore,466221,6,9
22-09-2025,Madhya Pradesh,Sehore,466331,28,53
22-09-2025,Madhya Pradesh,Sehore,466448,3,1
23-09-2025,Madhya Pradesh,Sehore,466113,0,3
23-09-2025,Madhya Pradesh,Sehore,466125,5,7
23-09-2025,Madhya Pradesh,Sehore,466661,8,13
23-09-2025,Madhya Pradesh,Sehore,466665,12,27
27-09-2025,Madhya Pradesh,Sehore,466125,1,2
27-09-2025,Madhya Pradesh,Sehore,466445,7,1
27-09-2025,Madhya Pradesh,Sehore,466661,1,9
03-11-2025,Madhya Pradesh,Sehore,466331,10,46
03-11-2025,Madhya Pradesh,Sehore,466554,3,8
05-11-2025,Madhya Pradesh,Sehore,466111,2,0
05-11-2025,Madhya Pradesh,Sehore,466113,1,1
04-11-2025,Madhya Pradesh,Sehore,466001,54,61
04-11-2025,Madhya Pradesh,Sehore,466118,3,7
04-11-2025,Madhya Pradesh,Sehore,466125,1,3
04-11-2025,Madhya Pradesh,Sehore,466445,5,4
04-11-2025,Madhya Pradesh,Sehore,466448,1,5
06-11-2025,Madhya Pradesh,Sehore,466114,2,6
06-11-2025,Madhya Pradesh,Sehore,466331,13,44
07-11-2025,Madhya Pradesh,Sehore,466111,5,17
07-11-2025,Madhya Pradesh,Sehore,466115,13,29
07-11-2025,Madhya Pradesh,Sehore,466125,6,6
07-11-2025,Madhya Pradesh,Sehore,466448,1,1
07-11-2025,Madhya Pradesh,Sehore,466651,9,14
15-06-2025,Madhya Pradesh,Sehore,466111,1,2
15-06-2025,Madhya Pradesh,Sehore,466448,1,0
18-10-2025,Madhya Pradesh,Sehore,466118,1,2
18-10-2025,Madhya Pradesh,Sehore,466125,1,1
18-10-2025,Madhya Pradesh,Sehore,466221,2,2
07-06-2025,Madhya Pradesh,Sehore,466661,0,1
07-06-2025,Madhya Pradesh,Sehore,466111,0,3
07-06-2025,Madhya Pradesh,Sehore,466445,0,2
25-05-2025,Madhya Pradesh,Sehore,466111,0,1
25-05-2025,Madhya Pradesh,Sehore,466221,0,1
13-07-2025,Madhya Pradesh,Sehore,466111,0,2
29-07-2025,Madhya Pradesh,Sehore,466111,0,1
06-06-2025,Madhya Pradesh,Sehore,466001,53,86
06-06-2025,Madhya Pradesh,Sehore,466446,8,14
06-06-2025,Madhya Pradesh,Sehore,466661,10,22
08-06-2025,Madhya Pradesh,Sehore,466111,0,2
08-06-2025,Madhya Pradesh,Sehore,466448,0,1
10-06-2025,Madhya Pradesh,Sehore,466115,61,46
10-06-2025,Madhya Pradesh,Sehore,466118,19,15
09-06-2025,Madhya Pradesh,Sehore,466116,60,76
09-06-2025,Madhya Pradesh,Sehore,466446,26,19
09-06-2025,Madhya Pradesh,Sehore,466448,12,8
09-06-2025,Madhya Pradesh,Sehore,466554,6,17
09-06-2025,Madhya Pradesh,Sehore,466665,21,25
18-06-2025,Madhya Pradesh,Sehore,466001,87,113
18-06-2025,Madhya Pradesh,Sehore,466111,15,9
18-06-2025,Madhya Pradesh,Sehore,466651,15,22
13-06-2025,Madhya Pradesh,Sehore,466111,18,29
13-06-2025,Madhya Pradesh,Sehore,466118,13,9
13-06-2025,Madhya Pradesh,Sehore,466120,15,9
13-06-2025,Madhya Pradesh,Sehore,466221,12,9
13-06-2025,Madhya Pradesh,Sehore,466446,18,6
12-06-2025,Madhya Pradesh,Sehore,466001,87,106
12-06-2025,Madhya Pradesh,Sehore,466651,22,17
17-06-2025,Madhya Pradesh,Sehore,466118,12,11
17-06-2025,Madhya Pradesh,Sehore,466125,9,6
17-06-2025,Madhya Pradesh,Sehore,466554,16,14
17-06-2025,Madhya Pradesh,Sehore,466651,21,25
17-06-2025,Madhya Pradesh,Sehore,466661,27,23
16-06-2025,Madhya Pradesh,Sehore,466001,104,106
16-06-2025,Madhya Pradesh,Sehore,466115,61,56
16-06-2025,Madhya Pradesh,Sehore,466116,94,82
16-06-2025,Madhya Pradesh,Sehore,466221,18,12
16-06-2025,Madhya Pradesh,Sehore,466651,48,23
21-06-2025,Madhya Pradesh,Sehore,466118,14,8
21-06-2025,Madhya Pradesh,Sehore,466125,2,6
21-06-2025,Madhya Pradesh,Sehore,466221,17,13
21-06-2025,Madhya Pradesh,Sehore,466554,8,11
21-06-2025,Madhya Pradesh,Sehore,466661,9,16
20-06-2025,Madhya Pradesh,Sehore,466001,68,85
20-06-2025,Madhya Pradesh,Sehore,466125,4,9
20-06-2025,Madhya Pradesh,Sehore,466221,16,11
20-06-2025,Madhya Pradesh,Sehore,466331,83,97
20-05-2025,Madhya Pradesh,Sehore,466116,59,54
20-05-2025,Madhya Pradesh,Sehore,466125,6,9
20-05-2025,Madhya Pradesh,Sehore,466331,49,71
20-05-2025,Madhya Pradesh,Sehore,466665,1,5
21-05-2025,Madhya Pradesh,Sehore,466001,43,49
21-05-2025,Madhya Pradesh,Sehore,466114,13,5
21-05-2025,Madhya Pradesh,Sehore,466445,20,9
21-05-2025,Madhya Pradesh,Sehore,466446,22,15
23-05-2025,Madhya Pradesh,Sehore,466114,15,9
23-05-2025,Madhya Pradesh,Sehore,466115,55,34
23-05-2025,Madhya Pradesh,Sehore,466118,1,2
23-05-2025,Madhya Pradesh,Sehore,466448,4,0
23-05-2025,Madhya Pradesh,Sehore,466554,10,7
23-05-2025,Madhya Pradesh,Sehore,466665,5,7
27-05-2025,Madhya Pradesh,Sehore,466113,2,8
27-05-2025,Madhya Pradesh,Sehore,466221,10,6
22-05-2025,Madhya Pradesh,Sehore,466118,6,5
22-05-2025,Madhya Pradesh,Sehore,466125,4,9
22-05-2025,Madhya Pradesh,Sehore,466445,7,20
24-05-2025,Madhya Pradesh,Sehore,466114,7,3
24-05-2025,Madhya Pradesh,Sehore,466118,4,3
24-05-2025,Madhya Pradesh,Sehore,466446,1,6
24-05-2025,Madhya Pradesh,Sehore,466665,8,10
26-05-2025,Madhya Pradesh,Sehore,466111,13,16
26-05-2025,Madhya Pradesh,Sehore,466115,51,49
26-05-2025,Madhya Pradesh,Sehore,466117,1,1
26-05-2025,Madhya Pradesh,Sehore,466445,14,16
26-05-2025,Madhya Pradesh,Sehore,466665,12,5
25-05-2025,Madhya Pradesh,Sehore,466331,1,0
29-05-2025,Madhya Pradesh,Sehore,466113,10,3
29-05-2025,Madhya Pradesh,Sehore,466445,4,2
29-05-2025,Madhya Pradesh,Sehore,466651,4,11
28-05-2025,Madhya Pradesh,Sehore,466221,17,11
28-05-2025,Madhya Pradesh,Sehore,466661,13,14
28-05-2025,Madhya Pradesh,Sehore,466665,17,11
03-06-2025,Madhya Pradesh,Sehore,466001,45,62
03-06-2025,Madhya Pradesh,Sehore,466113,3,6
03-06-2025,Madhya Pradesh,Sehore,466116,45,57
03-06-2025,Madhya Pradesh,Sehore,466445,11,13
03-06-2025,Madhya Pradesh,Sehore,466665,21,15
04-06-2025,Madhya Pradesh,Sehore,466111,13,19
04-06-2025,Madhya Pradesh,Sehore,466120,16,11
04-06-2025,Madhya Pradesh,Sehore,466445,5,13
30-05-2025,Madhya Pradesh,Sehore,466554,16,30
31-05-2025,Madhya Pradesh,Sehore,466445,8,8
31-05-2025,Madhya Pradesh,Sehore,466651,5,5
05-06-2025,Madhya Pradesh,Sehore,466001,52,105
05-06-2025,Madhya Pradesh,Sehore,466120,7,8
05-06-2025,Madhya Pradesh,Sehore,466125,6,8
05-06-2025,Madhya Pradesh,Sehore,466446,4,6
05-06-2025,Madhya Pradesh,Sehore,466448,4,4
11-06-2025,Madhya Pradesh,Sehore,466125,2,7
11-06-2025,Madhya Pradesh,Sehore,466331,46,74
11-06-2025,Madhya Pradesh,Sehore,466554,14,16
14-06-2025,Madhya Pradesh,Sehore,466111,14,9
14-06-2025,Madhya Pradesh,Sehore,466118,18,9
14-06-2025,Madhya Pradesh,Sehore,466446,9,2
14-06-2025,Madhya Pradesh,Sehore,466554,2,4
14-06-2025,Madhya Pradesh,Sehore,466651,19,15
19-06-2025,Madhya Pradesh,Sehore,466001,89,85
19-06-2025,Madhya Pradesh,Sehore,466221,12,10
19-06-2025,Madhya Pradesh,Sehore,466661,24,17
23-06-2025,Madhya Pradesh,Sehore,466111,26,25
23-06-2025,Madhya Pradesh,Sehore,466115,91,55
23-06-2025,Madhya Pradesh,Sehore,466221,25,18
23-06-2025,Madhya Pradesh,Sehore,466445,14,9
24-06-2025,Madhya Pradesh,Sehore,466113,7,5
24-06-2025,Madhya Pradesh,Sehore,466116,52,67
24-06-2025,Madhya Pradesh,Sehore,466120,23,16
24-06-2025,Madhya Pradesh,Sehore,466445,22,13
26-06-2025,Madhya Pradesh,Sehore,466001,73,77
26-06-2025,Madhya Pradesh,Sehore,466113,10,4
26-06-2025,Madhya Pradesh,Sehore,466114,17,15
26-06-2025,Madhya Pradesh,Sehore,466118,16,11
26-06-2025,Madhya Pradesh,Sehore,466120,20,28
26-06-2025,Madhya Pradesh,Sehore,466125,6,8
26-06-2025,Madhya Pradesh,Sehore,466331,98,86
26-06-2025,Madhya Pradesh,Sehore,466445,19,15
26-06-2025,Madhya Pradesh,Sehore,466446,18,24
26-06-2025,Madhya Pradesh,Sehore,466665,31,28
12-08-2025,Madhya Pradesh,Sehore,466111,27,59
12-08-2025,Madhya Pradesh,Sehore,466125,2,7
12-08-2025,Madhya Pradesh,Sehore,466651,1,3
13-08-2025,Madhya Pradesh,Sehore,466115,11,35
13-08-2025,Madhya Pradesh,Sehore,466120,3,8
13-08-2025,Madhya Pradesh,Sehore,466445,2,5
13-08-2025,Madhya Pradesh,Sehore,466554,2,5
14-08-2025,Madhya Pradesh,Sehore,466111,9,17
14-08-2025,Madhya Pradesh,Sehore,466114,2,6
14-08-2025,Madhya Pradesh,Sehore,466221,7,9
14-08-2025,Madhya Pradesh,Sehore,466448,4,0
27-08-2025,Madhya Pradesh,Sehore,466111,2,11
27-08-2025,Madhya Pradesh,Sehore,466116,0,1
27-08-2025,Madhya Pradesh,Sehore,466665,0,1
11-08-2025,Madhya Pradesh,Sehore,466114,4,17
11-08-2025,Madhya Pradesh,Sehore,466115,21,48
11-08-2025,Madhya Pradesh,Sehore,466445,8,12
26-08-2025,Madhya Pradesh,Sehore,466001,29,56
26-08-2025,Madhya Pradesh,Sehore,466445,5,10
26-08-2025,Madhya Pradesh,Sehore,466446,9,8
26-08-2025,Madhya Pradesh,Sehore,466448,5,4
25-08-2025,Madhya Pradesh,Sehore,466111,2,17
25-08-2025,Madhya Pradesh,Sehore,466114,4,6
25-08-2025,Madhya Pradesh,Sehore,466118,3,5
25-08-2025,Madhya Pradesh,Sehore,466446,1,8
25-08-2025,Madhya Pradesh,Sehore,466661,8,18
08-08-2025,Madhya Pradesh,Sehore,466221,7,8
08-08-2025,Madhya Pradesh,Sehore,466554,2,3
08-08-2025,Madhya Pradesh,Sehore,466661,7,0
08-08-2025,Madhya Pradesh,Sehore,466665,1,2
18-08-2025,Madhya Pradesh,Sehore,466114,8,12
18-08-2025,Madhya Pradesh,Sehore,466120,4,11
18-08-2025,Madhya Pradesh,Sehore,466651,11,20
18-08-2025,Madhya Pradesh,Sehore,466661,5,11
19-08-2025,Madhya Pradesh,Sehore,466114,4,6
19-08-2025,Madhya Pradesh,Sehore,466331,21,60
19-08-2025,Madhya Pradesh,Sehore,466446,3,7
19-08-2025,Madhya Pradesh,Sehore,466665,15,31
28-08-2025,Madhya Pradesh,Sehore,466111,5,6
28-08-2025,Madhya Pradesh,Sehore,466118,2,1
28-08-2025,Madhya Pradesh,Sehore,466125,2,3
28-08-2025,Madhya Pradesh,Sehore,466221,3,2
16-08-2025,Madhya Pradesh,Sehore,466448,0,1
05-08-2025,Madhya Pradesh,Sehore,466116,27,62
05-08-2025,Madhya Pradesh,Sehore,466221,6,7
07-08-2025,Madhya Pradesh,Sehore,466651,15,17
20-08-2025,Madhya Pradesh,Sehore,466120,3,5
20-08-2025,Madhya Pradesh,Sehore,466446,1,7
30-08-2025,Madhya Pradesh,Sehore,466115,21,36
30-08-2025,Madhya Pradesh,Sehore,466120,4,5
30-08-2025,Madhya Pradesh,Sehore,466125,5,4
30-08-2025,Madhya Pradesh,Sehore,466445,3,7
29-08-2025,Madhya Pradesh,Sehore,466115,12,42
29-08-2025,Madhya Pradesh,Sehore,466445,2,5
29-08-2025,Madhya Pradesh,Sehore,466665,9,13
02-09-2025,Madhya Pradesh,Sehore,466111,3,12
02-09-2025,Madhya Pradesh,Sehore,466113,2,6
02-09-2025,Madhya Pradesh,Sehore,466651,3,26
08-09-2025,Madhya Pradesh,Sehore,466113,6,8
08-09-2025,Madhya Pradesh,Sehore,466114,9,19
08-09-2025,Madhya Pradesh,Sehore,466125,1,10
08-09-2025,Madhya Pradesh,Sehore,466665,5,8
07-09-2025,Madhya Pradesh,Sehore,466113,1,0
07-09-2025,Madhya Pradesh,Sehore,466331,1,0
07-09-2025,Madhya Pradesh,Sehore,466661,0,1
22-08-2025,Madhya Pradesh,Sehore,466118,1,4
22-08-2025,Madhya Pradesh,Sehore,466221,4,10
22-08-2025,Madhya Pradesh,Sehore,466661,6,24
22-08-2025,Madhya Pradesh,Sehore,466665,10,33
21-08-2025,Madhya Pradesh,Sehore,466111,16,17
21-08-2025,Madhya Pradesh,Sehore,466113,4,6
21-08-2025,Madhya Pradesh,Sehore,466120,2,9
21-08-2025,Madhya Pradesh,Sehore,466331,31,52
21-08-2025,Madhya Pradesh,Sehore,466661,6,8
24-08-2025,Madhya Pradesh,Sehore,466448,1,1
23-08-2025,Madhya Pradesh,Sehore,466116,14,29
23-08-2025,Madhya Pradesh,Sehore,466331,17,44
23-08-2025,Madhya Pradesh,Sehore,466445,5,12
23-08-2025,Madhya Pradesh,Sehore,466554,2,5
01-09-2025,Madhya Pradesh,Sehore,466111,9,20
01-09-2025,Madhya Pradesh,Sehore,466115,18,38
01-09-2025,Madhya Pradesh,Sehore,466448,0,4
01-09-2025,Madhya Pradesh,Sehore,466661,5,20
04-09-2025,Madhya Pradesh,Sehore,466114,2,10
04-09-2025,Madhya Pradesh,Sehore,466331,17,62
04-09-2025,Madhya Pradesh,Sehore,466446,6,6
04-09-2025,Madhya Pradesh,Sehore,466554,6,14
04-09-2025,Madhya Pradesh,Sehore,466651,7,16
03-09-2025,Madhya Pradesh,Sehore,466114,6,17
03-09-2025,Madhya Pradesh,Sehore,466446,11,5
06-09-2025,Madhya Pradesh,Sehore,466115,2,22
06-09-2025,Madhya Pradesh,Sehore,466116,6,14
05-09-2025,Madhya Pradesh,Sehore,466113,0,1
05-09-2025,Madhya Pradesh,Sehore,466445,1,0
09-09-2025,Madhya Pradesh,Sehore,466111,10,13
09-09-2025,Madhya Pradesh,Sehore,466221,10,13
09-09-2025,Madhya Pradesh,Sehore,466554,2,11
09-09-2025,Madhya Pradesh,Sehore,466665,1,5
03-07-2025,Madhya Pradesh,Sehore,466114,10,21
03-07-2025,Madhya Pradesh,Sehore,466116,40,57
03-07-2025,Madhya Pradesh,Sehore,466554,4,17
01-07-2025,Madhya Pradesh,Sehore,466116,29,56
01-07-2025,Madhya Pradesh,Sehore,466331,65,96
01-07-2025,Madhya Pradesh,Sehore,466445,18,9
01-07-2025,Madhya Pradesh,Sehore,466661,22,30
27-06-2025,Madhya Pradesh,Sehore,466001,82,66
27-06-2025,Madhya Pradesh,Sehore,466446,21,16
28-06-2025,Madhya Pradesh,Sehore,466115,54,47
29-06-2025,Madhya Pradesh,Sehore,466448,0,2
02-07-2025,Madhya Pradesh,Sehore,466120,11,11
02-07-2025,Madhya Pradesh,Sehore,466554,10,11
06-07-2025,Madhya Pradesh,Sehore,466331,0,3
07-07-2025,Madhya Pradesh,Sehore,466221,12,12
